response.url,response.status,links.length
https://play.google.com/store/apps/details?id=com.google.android.apps.photos&referrer=utm_source%3Daboutpage,200,136
https://policies.google.com/privacy?hl=en-GB,200,90
https://policies.google.com/terms,200,12
https://www.google.co.in/shopping?hl=en&source=og&tab=kf,200,121
https://www.google.co.in/shopping?hl=en&source=og&tab=if,200,120
https://www.google.com/intl/en/policies/,200,0
https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fcontacts.google.com%2F%3Fhl%3Den%26tab%3DwC&followup=https%3A%2F%2Fcontacts.google.com%2F%3Fhl%3Den%26tab%3DwC&sacu=1&rip=1,200,7
https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Fcontacts.google.com%2F%3Fhl%3Den%26tab%3DwC&hl=en,200,4
https://accounts.google.com/SignUp?continue=https%3A%2F%2Fcontacts.google.com%2F%3Fhl%3Den%26tab%3DwC&hl=en,200,7
https://policies.google.com/terms?gl=IN&hl=en,200,13
https://about.google/intl/en/,200,44
https://support.google.com/accounts/?hl=en,200,81
https://twitter.com/googlephotos,200,124
https://policies.google.com/privacy?gl=IN&hl=en,200,90
https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2Frender%3Ftab%3Dwc&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2Frender%3Ftab%3Dwc&service=cl&sacu=1&scc=1&rip=1,200,7
https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2Frender%3Ftab%3Dwc&service=cl&scc=1&osid=1&hl=en-GB,200,4
https://www.google.co.in/webhp?tab=8w,200,45
https://myaccount.google.com/intro?utm_source=OGB&tab=8k&utm_medium=app,200,36
https://policies.google.com/terms?gl=IN&hl=en-GB,200,13
https://accounts.google.com/SignUp?service=cl&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2Frender%3Ftab%3Dwc,200,7
https://about.google/intl/en-GB/,200,42
https://support.google.com/accounts/?hl=en-GB,200,81
https://itunes.apple.com/app/apple-store/id962194608?mt=8,200,34
https://play.google.com/store?hl=en&tab=88,200,205
https://about.google/intl/en/products/?tab=8h,200,174
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://contacts.google.com/?hl%3Den%26tab%3D8C&followup=https://contacts.google.com/?hl%3Den%26tab%3D8C&hl=en,200,7
https://policies.google.com/privacy?gl=IN&hl=en-GB,200,90
https://accounts.google.com/ServiceLogin?service=cl&passive=1209600&osid=1&continue=https://calendar.google.com/calendar/render?tab%3D8c&followup=https://calendar.google.com/calendar/render?tab%3D8c&scc=1,200,7
https://translate.google.co.in/?hl=en&tab=8T,200,32
https://books.google.co.in/bkshp?hl=en&tab=8p,200,29
https://www.google.com/photos/about/,304,6
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://play.google.com/store?hl%3Den%26tab%3Dw8&followup=https://play.google.com/store?hl%3Den%26tab%3Dw8&hl=en,200,7
https://www.blogger.com/about/?r=1-null_user,304,13
https://play.google.com/store/apps/editors_choice,200,132
https://play.google.com/store/apps/category/FAMILY,200,221
https://play.google.com/store/apps,200,269
https://play.google.com/store/apps/category/GAME,200,250
https://play.google.com/store,200,204
https://www.google.co.in/shopping?hl=en&source=og&tab=8f,200,120
https://play.google.com/store/movies,200,136
https://play.google.com/store/movies/stream/promotion_collections_movie_studios,200,132
https://accounts.google.com/ServiceLogin?service=googleplay&passive=1209600&continue=https://play.google.com/store/paymentmethods&followup=https://play.google.com/store/paymentmethods,200,7
https://accounts.google.com/ServiceLogin?service=googleplay&passive=1209600&continue=https://play.google.com/store/myplayactivity&followup=https://play.google.com/store/myplayactivity,200,7
https://play.google.com/intl/en_in/about/giftcards/,200,17
https://play.google.com/store/books/category/coll_1401,200,158
https://play.google.com/store/music,200,223
https://play.google.com/redeem,200,55
https://play.google.com/store/books,200,262
https://play.google.com/store/books/category/audiobooks,200,219
https://play.google.com/music/listen,200,25
